Nosaukums,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
Perfectly Central Apartment 5 min to Old Town & Art Noveau.,2022,9,9.7,1,2,130,60,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rūnēnu tējas namiņš,2019,9.6,9.4,1,2,80,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Rūnēnu tējas namiņš,2019,9.6,9.4,1,3,95,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Rūnēnu tējas namiņš,2019,9.6,9.4,1,4,110,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Rūnēnu zāļu namiņš,2022,9.5,9.4,1,3,82,66,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Hotel Sigulda,2010,8.6,9.5,0,2,70,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,2010,8.6,9.5,0,2,80,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,2010,8.6,9.5,0,2,85,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,2010,8.6,9.5,0,2,94,24,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,2010,8.6,9.5,0,2,95,24,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,2010,8.6,9.5,0,2,107,30,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,2010,8.6,9.5,0,2,115,45,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,2010,8.6,9.5,0,2,150,45,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Liva Hotel,2007,8.3,9.4,0,2,46,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Liva Hotel,2007,8.3,9.4,0,2,58,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Liva Hotel,2007,8.3,9.4,0,2,52,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Liva Hotel,2007,8.3,9.4,0,2,86,25,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Liva Hotel,2007,8.3,9.4,0,2,63,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,2017,9.4,9.1,0,1,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,2017,9.4,9.1,0,3,81,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,2017,9.4,9.1,0,3,91,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,2017,9.4,9.1,0,4,102,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,2017,9.4,9.1,0,4,93,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Rojas Pērle,2019,8,9,0,3,70,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Rojas Pērle,2019,8,9,0,4,77,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,2007,8,9.5,0,2,62,17,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,2007,8,9.5,0,2,86,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,2007,8,9.5,0,2,143,52,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,2007,8,9.5,0,3,162,52,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,2007,8,9.5,0,2,238,111,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Jēkaba sēta,2014,8.8,9.6,0,2,52,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,2014,8.8,9.6,0,2,70,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,2014,8.8,9.6,0,2,57,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,2014,8.8,9.6,0,2,81,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,2014,8.8,9.6,1,4,84,60,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,2014,8.8,9.6,1,4,132,60,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,2013,9,9.4,0,2,229,29,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,2013,9,9.4,0,2,241,30,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,2013,9,9.4,0,2,259,35,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,2013,9,9.4,0,4,403,55,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Restart,2016,8.9,8.7,0,2,54,23,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
Restart,2016,8.9,8.7,0,2,72,23,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
Restart,2016,8.9,8.7,0,2,56,29,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
Restart,2016,8.9,8.7,0,2,72,29,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
Restart,2016,8.9,8.7,0,2,75,40,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
Restart,2016,8.9,8.7,0,2,91,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
Lielupe Hotel SPA & Conferences by Semarah,2010,8.8,9.2,0,2,104,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,2010,8.8,9.2,0,2,116,15,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,2010,8.8,9.2,0,2,127,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,2010,8.8,9.2,0,2,141,25,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,2010,8.8,9.2,0,2,167,25,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,2010,8.8,9.2,0,2,176,36,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,2010,8.8,9.2,0,2,243,78,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Kārklu Muiža,2020,8.8,8.6,0,2,48,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,2020,8.8,8.6,0,2,60,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,2020,8.8,8.6,0,3,80,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,2020,8.8,8.6,0,3,94,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,2020,8.8,8.6,0,3,100,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,2020,8.8,8.6,0,4,100,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Jaunmoku Palace Complex Hotel,2010,8.6,9.2,0,2,55,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Jaunmoku Palace Complex Hotel,2010,8.6,9.2,0,2,75,32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Jaunmoku Palace Complex Hotel,2010,8.6,9.2,0,2,115,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Jaunmoku Palace Complex Hotel,2010,8.6,9.2,0,2,150,147,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Kapteinu Osta,2010,8.5,9.3,1,4,78,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
Kapteinu Osta,2010,8.5,9.3,1,3,132,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
Kapteinu Osta,2010,8.5,9.3,1,4,84,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
Kapteinu Osta,2010,8.5,9.3,1,4,120,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
Ķērpji,2013,9.1,9,1,2,52,45,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Ķērpji,2013,9.1,9,1,3,57,45,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Ķērpji,2013,9.1,9,1,3,82,75,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Ķērpji,2013,9.1,9,1,4,87,75,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Marbella,2012,8.2,9,0,2,27,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Marbella,2012,8.2,9,0,3,32,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Usma SPA Hotel & Camping,2013,8.9,9.4,2,3,75,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Usma SPA Hotel & Camping,2013,8.9,9.4,0,2,85,20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Biplan Hotel,2014,8.6,8.7,0,2,63,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,2014,8.6,8.7,0,2,70,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,2014,8.6,8.7,0,2,73,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,2014,8.6,8.7,0,2,80,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,2014,8.6,8.7,0,3,93,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,2014,8.6,8.7,0,2,90,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,2014,8.6,8.7,0,3,103,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,2014,8.6,8.7,0,4,116,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Rožmalas,2015,9.1,9,0,2,60,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Rožmalas,2015,9.1,9,0,2,65,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Rožmalas,2015,9.1,9,0,2,75,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Rožmalas,2015,9.1,9,0,2,90,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Daina Jurmala Beach Hotel,2008,7.9,8.7,0,2,68,18,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,0,2,87,18,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,0,2,95,20,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,0,2,109,26,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,0,2,118,26,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,0,2,125,32,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,1,2,140,38,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,1,2,145,38,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,1,2,153,37,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,1,2,165,45,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,2008,7.9,8.7,1,2,170,44,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Biplan City,2016,8.8,9.3,0,2,68,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biplan City,2016,8.8,9.3,0,2,70,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biplan City,2016,8.8,9.3,0,2,73,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biplan City,2016,8.8,9.3,0,2,80,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biplan City,2016,8.8,9.3,0,3,90,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biplan City,2016,8.8,9.3,0,2,87,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biplan City,2016,8.8,9.3,0,3,93,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biplan City,2016,8.8,9.3,0,3,100,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biplan City,2016,8.8,9.3,0,4,113,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,2007,8.6,9.4,0,2,80,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,2007,8.6,9.4,0,2,98,23,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,2007,8.6,9.4,0,2,116,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,2007,8.6,9.4,0,3,151,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Odzienas Krogusmāja,2013,9.3,9.3,0,2,50,15,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Odzienas Krogusmāja,2013,9.3,9.3,0,2,50,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Odzienas Krogusmāja,2013,9.3,9.3,0,4,80,40,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Baltvilla,2007,9,9.2,0,2,123,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Baltvilla,2007,9,9.2,0,2,98,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Baltvilla,2007,9,9.2,0,2,100,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Baltvilla,2007,9,9.2,0,2,119,44,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Baltvilla,2007,9,9.2,2,2,204,110,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Baltvilla,2007,9,9.2,0,3,119,24,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Baltic Beach Hotel & SPA,2012,8.7,9.6,0,2,145,15,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,2012,8.7,9.6,0,2,215,21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,2012,8.7,9.6,0,2,240,33,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,2012,8.7,9.6,0,2,260,44,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,2012,8.7,9.6,0,2,330,39,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,2012,8.7,9.6,0,4,450,70,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,2012,8.7,9.6,3,6,715,156,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Demians,2010,8.2,9.4,0,2,65,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Amrita Hotel,2009,8.9,9.2,0,2,49,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,0,2,69,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,0,2,66,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,0,2,83,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,0,2,118,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,0,2,132,34,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,0,2,138,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,0,2,150,45,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,1,2,164,52,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,2009,8.9,9.2,1,2,175,52,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Private Farm Jakuzzi Sauna in the forest,2010,9,8.9,0,4,75,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Private Farm Jakuzzi Sauna in the forest,2010,9,8.9,0,4,87,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Private Farm Jakuzzi Sauna in the forest,2010,9,8.9,0,5,90,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Reinis,2009,8.9,9.3,0,2,55,18,0,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,71,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,119,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,78,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,125,26,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,82,35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,131,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,88,35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,137,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,125,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,178,40,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,3,92,35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,1,3,132,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,4,119,48,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,2010,9.1,9.4,0,4,141,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Monika Centrum Hotels,2010,8.6,9.2,0,2,82,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Kalna Ligzda,2012,8.9,9.4,0,2,52,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Kalna Ligzda,2012,8.9,9.4,0,3,63,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Kalna Ligzda,2012,8.9,9.4,0,4,86,31,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
VILARHOTEL,2021,8.1,8.3,0,2,112,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
VILARHOTEL,2021,8.1,8.3,2,4,208,50,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
VILARHOTEL,2021,8.1,8.3,0,5,195,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Art Hotel Roma,2019,9.4,9.7,0,2,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,2019,9.4,9.7,0,2,98,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,2019,9.4,9.7,0,2,85,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,2019,9.4,9.7,0,2,111,45,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,2019,9.4,9.7,0,2,136,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,2019,9.4,9.7,0,2,153,53,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,2019,9.4,9.7,0,2,170,38,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Divas Upes,2011,9.6,9.6,0,2,59,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Divas Upes,2011,9.6,9.6,0,2,86,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Divas Upes,2011,9.6,9.6,0,3,68,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Divas Upes,2011,9.6,9.6,0,3,77,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Divas Upes,2011,9.6,9.6,0,3,81,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Divas Upes,2011,9.6,9.6,0,4,108,56,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
S+W39+3+39:68,2012,8.7,9.6,0,2,50,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Port Hotel,2012,8.2,8.7,0,2,87,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,100,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,88,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,108,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,135,27,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,155,27,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,135,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,155,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,240,57,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Port Hotel,2012,8.2,8.7,0,2,260,57,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Spa Hotel Ezeri,2007,8.3,8.8,0,2,80,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
Spa Hotel Ezeri,2007,8.3,8.8,0,2,100,20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
Spa Hotel Ezeri,2007,8.3,8.8,0,2,120,20,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
Wolmar,2007,9.1,9.4,0,2,55,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Wolmar,2007,9.1,9.4,0,2,65,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hanza Hotel,2007,8.1,8.4,0,2,50,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Hanza Hotel,2007,8.1,8.4,0,2,58,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Hanza Hotel,2007,8.1,8.4,0,2,67,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Hanza Hotel,2007,8.1,8.4,0,2,77,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Hanza Hotel,2007,8.1,8.4,0,2,87,30,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Bellevue Park Hotel Riga with FREE Parking,2007,8.6,8.7,0,2,62,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Bellevue Park Hotel Riga with FREE Parking,2007,8.6,8.7,0,2,92,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Bellevue Park Hotel Riga with FREE Parking,2007,8.6,8.7,0,2,97,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Bellevue Park Hotel Riga with FREE Parking,2007,8.6,8.7,1,2,102,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Bellevue Park Hotel Riga with FREE Parking,2007,8.6,8.7,0,2,112,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Gulbene,2010,8.1,9,0,2,40,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hotel Gulbene,2010,8.1,9,0,2,52,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hotel Gulbene,2010,8.1,9,0,3,50,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hotel Gulbene,2010,8.1,9,0,4,65,33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hotel Gulbene,2010,8.1,9,0,4,65,50,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
